"Site","Date","Cage","Taxon","Count","CountWhole","fragments","Meanlength","Study"
"Suisun Marsh",2024-09-25,"Cage 5","Americorophium spinicorne",4,4,0,3.125,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Americorophium",70,37,33,1.95945945945946,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Gammaridae",78,38,40,2.85526315789474,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Gammarus daiberi",23,23,0,4.86842105263158,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Gnorimosphaeroma",136,50,86,3.64,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Munnidae",13,12,1,1.41666666666667,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Ostracoda",2,2,0,1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Americorophium",16,15,1,1.93333333333333,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Cumacean",2,2,0,2.75,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Gammaridae",8,6,2,3.08333333333333,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Gnorimosphaeroma",22,14,8,2.39285714285714,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Munnidae",4,1,3,1.5,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Ostracoda",5,5,0,1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Tanaidacea",2,2,0,2.75,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 7","Americorophium",23,7,16,1.92857142857143,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 7","Gnorimosphaeroma",12,5,7,2.1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 7","Tanaidacea",1,1,0,2.5,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Americorophium spinicorne",11,11,0,3.275,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Americorophium",42,20,22,1.575,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Gammarus daiberi",18,14,4,4,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Gnorimosphaeroma",22,15,7,2.93333333333333,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Hyalella",1,0,1,NA,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Munnidae",16,14,2,1.35714285714286,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Ostracoda",3,3,0,1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Tanaidacea",2,2,0,2.25,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Chironomidae larvae",16,7,9,2.42857142857143,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Chironomidae pupae",2,2,0,4.5,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Gammarus daiberi",2,2,0,3.75,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Hyalella",43,28,15,3.42857142857143,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Hydroptilidae larvae",3,3,0,2.16666666666667,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Naididae",5,5,0,1.6,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Ostracoda",3,3,0,1,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Amphipoda",2,0,2,NA,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Chironomidae larvae",2,1,1,7.5,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Chironomidae pupae",3,3,0,3.66666666666667,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Gammarus daiberi",5,4,1,3.5,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Hyalella",30,18,12,3.6875,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Hydroptilidae larvae",6,4,2,3.375,"SMSCG"
"Rio Vista",2024-09-26,"Cage 2","Insect pupae",1,0,1,NA,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Chironomidae larvae",39,17,22,4.26470588235294,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Chironomidae pupae",8,3,5,3.33333333333333,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Hyalella",114,46,68,3.26493506493506,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Hydroptilidae larvae",2,1,1,2,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Naididae",35,17,18,2.08823529411765,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Ostracoda",3,3,0,0.833333333333333,"SMSCG"
"Rio Vista",2024-09-26,"Cage 3","Tanaidacea",1,1,0,2,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Amphipoda",9,0,9,NA,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Chironomidae larvae",10,4,6,3.125,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Chironomidae pupae",1,0,1,NA,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Cyclopoida copepodid",1,1,0,1,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Gammarus daiberi",9,6,3,3.41666666666667,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Hyalella",38,22,16,3.4375,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Naididae",1,1,0,1.5,"SMSCG"
"Rio Vista",2024-09-26,"Cage 4","Ostracoda",2,2,0,1,"SMSCG"
"Suisun Marsh",2023-10-10,"Cage 5","Americorophium",2,2,0,1.5,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Crab zoea",1,1,0,1.5,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Gammarus daiberi",3,1,2,1.5,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Gnorimosphaeroma",3,3,0,3.33333333333333,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Hyalella",1,1,0,4,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Hydrachnidae",1,1,0,1,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Munnidae",1,1,0,1.5,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Tanaidacea",1,1,0,2,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 5","Trichoptera adult",1,1,0,2,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 6","Americorophium spinicorne",38,22,16,3.55952380952381,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 6","Gammarus daiberi",95,50,45,5.02551020408163,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 6","Gnorimosphaeroma",87,50,37,3.47,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 6","Hydrachnidae",1,1,0,0.5,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 6","Munnidae",43,30,13,1.40178571428571,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 6","Tanaidacea",9,4,5,2.5,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 7","No amphipod or insects",0,0,0,NA,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 8","Americorophium spinicorne",21,10,11,2.7,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 8","Gammarus daiberi",144,50,94,5.49597423510467,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 8","Gnorimosphaeroma",8,6,2,3.58333333333333,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 8","Munnidae",6,5,1,1.3,"Biofouling Study"
"Suisun Marsh",2023-10-10,"Cage 8","Tanaidacea",4,3,1,2.16666666666667,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 1","Chironomidae larvae",1,1,0,3.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 1","Gammarus daiberi",36,18,18,3.41666666666667,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 1","Hyalella",41,29,12,3.98188405797101,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 1","Naididae",10,4,6,2.25,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 1","Turbellaria",1,1,0,0.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Americorophium spinicorne",25,16,9,2.34375,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Chironomidae larvae",20,15,5,4.96666666666667,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Chironomidae pupae",1,0,1,NA,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Elmidae",1,0,1,NA,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Gammarus daiberi",770,50,720,3.84,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Gastropoda",2,2,0,3.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Gnorimosphaeroma",1,1,0,3.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Hyalella",203,50,153,3.67,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Hydroptilidae larvae",3,3,0,2.16666666666667,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Hydroptilidae pupae",3,3,0,3,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Naididae",28,12,16,1.33333333333333,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Ostracoda",3,3,0,0.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Polycentropodidae larvae",2,2,0,2.25,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Tanaidacea",21,19,2,1.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 2","Turbellaria",1,1,0,1.5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 3","Americorophium spinicorne",1,1,0,4,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 3","Gammarus daiberi",34,21,13,3.54761904761905,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 3","Hyalella",4,3,1,3.66666666666667,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 3","Leptoceridae larvae",1,1,0,6,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 4","Americorophium spinicorne",5,2,3,3,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 4","Chironomidae larvae",8,3,5,5,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 4","Gammarus daiberi",82,50,32,3.89,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 4","Hyalella",138,50,88,3.76,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 4","Hydroptilidae larvae",3,3,0,3.16666666666667,"Biofouling Study"
"Rio Vista",2023-10-11,"Cage 4","Naididae",7,4,3,2.125,"Biofouling Study"
