Taxon,Life History Stage,Taxonomic level,Class_Subclass,Order,Family,Genus,Species
Acanthocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops vernalis adult,Adult,Species,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis
Acanthocyclops vernalis copepodid,Juvenile,Species,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis
Acari,Undifferentiated,Subclass,,,,,
Acartia,Undifferentiated,Genus,Copepoda,Calanoida,Acartiidae,Acartia,
Acartia copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartia,
Acartiella copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartiella,
Acartiella sinensis,Undifferentiated,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis
Acartiella sinensis adult,Adult,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis
Alona,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alona,
Alona/Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,,
Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alonella,
Americorophium,Undifferentiated,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,
Americorophium juvenile,Juvenile,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,
Americorophium spinicorne,Undifferentiated,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Americorophium spinicorne adult,Adult,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Americorophium spinicorne juvenile,Juvenile,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Amphipoda,Undifferentiated,Order,Malacostraca,Amphipoda,,,
Amphipoda parts,Undifferentiated,Order,Malacostraca,Amphipoda,,,
Anchistropus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,
Animal parts,Undifferentiated,NA,,,,,
Annelida,Undifferentiated,Phylum,,,,,
Aphididae (winged) adult,Adult,Family,Insecta,Hemiptera,Aphididae,,
Arthropoda parts,Undifferentiated,Phylum,,,,,
Asplanchna,Undifferentiated,Genus,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,
Barnacle nauplii,Larva,Class,,,,,
Bivalvia,Undifferentiated,Class,Bivalvia,,,,
Bivalvia juvenile,Juvenile,Class,Bivalvia,,,,
Bivalvia veliger,Larva,Class,Bivalvia,,,,
Bosmina,Undifferentiated,Genus,Branchiopoda,Cladocera,Bosminidae,Bosmina,
Brachionus,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Brachionus,
Calanoida,Undifferentiated,Order,Copepoda,Calanoida,,,
Calanoida adult,Adult,Order,Copepoda,Calanoida,,,
Calanoida copepodid,Juvenile,Order,Copepoda,Calanoida,,,
Calanoida nauplii,Larva,Order,Copepoda,Calanoida,,,
Camptocercus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,
Ceriodaphnia,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,
Chironomidae adult,Adult,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae emergent,Adult,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae larvae,Larva,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae pupae,Larva,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chydoridae,Undifferentiated,Family,Branchiopoda,Cladocera,Chydoridae,,
Chydorus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Chydorus,
Cladocera,Undifferentiated,Order,Branchiopoda,Cladocera,,,
Cladocera nauplii,Larva,Order,Branchiopoda,Cladocera,,,
Copepod nauplii,Larva,Class,Copepoda,,,,
Copepoda,Undifferentiated,Class,Copepoda,,,,
Copepoda copepodid,Juvenile,Class,Copepoda,,,,
Copepoda mush,Undifferentiated,Class,Copepoda,,,,
Corixidae,Undifferentiated,Family,Insecta,Hemiptera,Corixidae,,
Corophiidae,Undifferentiated,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophiidae juvenile,Juvenile,Family,,,,,
Corophiidae parts (head),Undifferentiated,Family,,,,,
Corophium,Undifferentiated,Genus,,,,,
Crab zoea,Larva,Order,,,,,
Crangonyx,Undifferentiated,Genus,,,,,
Crustacea,Undifferentiated,Subphylum,,,,,
Culicidae larvae,Larva,Family,,,,,
Cumacean,Undifferentiated,Order,,,,,
Cumella vulgaris,Undifferentiated,Species,,,,,
Cyclopoida,Undifferentiated,Order,,,,,
Cyclopoida adult,Adult,Order,,,,,
Cyclopoida copepodid,Juvenile,Order,,,,,
Cyclopoida nauplii,Larva,Order,,,,,
Daphnia,Undifferentiated,Genus,,,,,
Daphnia Resting egg,Egg,Genus,,,,,
Detritis,NA,NA,,,,,
Diacyclops thomasi,Undifferentiated,Species,,,,,
Diacyclops thomasi adult,Adult,Species,,,,,
Diacyclops thomasi copepodid,Juvenile,Species,,,,,
Diaphanosoma,Undifferentiated,Genus,,,,,
Diaptomidae,Undifferentiated,Family,,,,,
Diaptomidae adult,Adult,Family,,,,,
Diaptomidae copepodid,Juvenile,Family,,,,,
Diaptomus,Undifferentiated,Genus,,,,,
Diaptomus copepodid,Juvenile,Genus,,,,,
Digestive material,NA,NA,,,,,
Diptera adult,Adult,Order,,,,,
Disparalona,Undifferentiated,Genus,,,,,
Dunhevedia,Undifferentiated,Genus,,,,,
Ectocyclops phaleratus,Undifferentiated,Species,,,,,
Empty,NA,NA,,,,,
Eogammarus confervicolus,Undifferentiated,Species,,,,,
Eogammarus confervicolus juvenile,Juvenile,Species,,,,,
Euchlanis,Undifferentiated,Genus,,,,,
Eucyclops,Undifferentiated,Genus,,,,,
Eucyclops adult,Adult,Genus,,,,,
Eucyclops agilis,Undifferentiated,Species,,,,,
Eucyclops copepodid,Juvenile,Genus,,,,,
Eucyclops elegans,Undifferentiated,Species,,,,,
Eucyclops pectinifer,Undifferentiated,Species,,,,,
Eucyclops prionophorus,Undifferentiated,Species,,,,,
Eurycercus,Undifferentiated,Genus,,,,,
Eurytemora affinis,Undifferentiated,Species,,,,,
Eurytemora affinis adult,Adult,Species,,,,,
Eurytemora affinis copepodid,Juvenile,Species,,,,,
Eurytemora affinis nauplii,Larva,Species,,,,,
Fish,Undifferentiated,Class,,,,,
Fish eggs,Egg,Class,,,,,
Gammaridae,Undifferentiated,Family,,,,,
Gammaridae juvenile,Juvenile,Family,,,,,
Gammarus,Undifferentiated,Genus,,,,,
Gammarus daiberi,Undifferentiated,Species,,,,,
Gastropoda,Undifferentiated,Class,,,,,
Gastropoda veliger,Larva,Class,,,,,
Graptoleberis,Undifferentiated,Genus,,,,,
Halicyclops,Undifferentiated,Genus,,,,,
Halicyclops adult,Adult,Genus,,,,,
Hard pellet/ can't ID,NA,NA,,,,,
Harpacticoida,Undifferentiated,Order,,,,,
Harpacticoida adult,Adult,Order,,,,,
Hemiptera,Undifferentiated,Order,,,,,
Hemiptera nymph,Juvenile,Order,,,,,
Hesperodiaptomus franciscanus,Undifferentiated,Species,,,,,
Hyalella,Undifferentiated,Genus,,,,,
Hyalella azteca,Undifferentiated,Species,,,,,
Hydrachnidae,Undifferentiated,Family,,,,,
Hydrachnidia,Undifferentiated,Family,,,,,
Hydroptilidae larvae,Larva,Family,,,,,
Ilyocryptus,Undifferentiated,Genus,,,,,
Insect parts,NA,Class,,,,,
Insecta,Undifferentiated,Class,,,,,
Insecta adult,Adult,Class,,,,,
Insecta larvae,Larva,Class,,,,,
Isopod,Undifferentiated,Order,,,,,
Keratella,Undifferentiated,Genus,,,,,
Kurzia,Undifferentiated,Genus,,,,,
Larval Fish,Larva,Class,,,,,
Lecane,Undifferentiated,Genus,,,,,
Lepadella,Undifferentiated,Genus,,,,,
Leydigia,Undifferentiated,Genus,,,,,
Limnoithona,Undifferentiated,Genus,,,,,
Limnoithona adult,Adult,Genus,,,,,
Limnoithona copepodid,Juvenile,Genus,,,,,
Limnoithona sinensis,Undifferentiated,Species,,,,,
Limnoithona sinensis adult,Adult,Species,,,,,
Limnoithona tetraspina,Undifferentiated,Species,,,,,
Limnoithona tetraspina adult,Adult,Species,,,,,
Loose copepod eggs,Egg,Class,,,,,
Macrocyclops,Undifferentiated,Genus,,,,,
Macrocyclops adult,Adult,Genus,,,,,
Macrocyclops albidus,Undifferentiated,Species,,,,,
Macrocyclops copepodid,Juvenile,Genus,,,,,
Macrothrix,Undifferentiated,Genus,,,,,
Maeotias marginata (large),Undifferentiated,Species,,,,,
Mesocyclops,Undifferentiated,Genus,,,,,
Mesocyclops adult,Adult,Genus,,,,,
Mesocyclops edax,Undifferentiated,Species,,,,,
Microcyclops adult,Adult,Genus,,,,,
Microcyclops rubellus,Undifferentiated,Species,,,,,
Moina,Undifferentiated,Genus,,,,,
Monospilus,Undifferentiated,Genus,,,,,
Monospilus dispar,Undifferentiated,Genus,,,,,
Mysid,Undifferentiated,Order,,,,,
Nematoda,Undifferentiated,Phylum,,,,,
Nippoleucon hinumensis,Undifferentiated,Species,,,,,
Notholca,Undifferentiated,Genus,,,,,
Oithona,Undifferentiated,Genus,,,,,
Oithona copepodid,Juvenile,Genus,,,,,
Oithona davisae,Undifferentiated,Species,,,,,
Oithona similis,Undifferentiated,Species,,,,,
Osphranticum copepodid,Juvenile,Genus,,,,,
Osphranticum labronectum,Undifferentiated,Species,,,,,
Osphranticum labronectum adult,Adult,Species,,,,,
Ostracoda,Undifferentiated,Order,,,,,
Paracyclops,Undifferentiated,Genus,,,,,
Paracyclops chiltoni,Undifferentiated,Species,,,,,
Paracyclops poppei,Undifferentiated,Species,,,,,
Picripleuroxus,Undifferentiated,Genus,,,,,
Plant material,NA,NA,,,,,
Plationus,Undifferentiated,Genus,,,,,
Platyias,Undifferentiated,Genus,,,,,
Pleuroxus,Undifferentiated,Genus,,,,,
Polyarthra,Undifferentiated,Genus,,,,,
Polychaete larvae,Larva,Class,,,,,
Pseudochydorus,Undifferentiated,Genus,,,,,
Pseudodiaptomus forbesi,Undifferentiated,Species,,,,,
Pseudodiaptomus forbesi adult,Adult,Species,,,,,
Pseudodiaptomus forbesi copepodid,Juvenile,Species,,,,,
Pseudodiaptomus forbesi nauplii,Larva,Species,,,,,
Pseudodiaptomus nauplii,Larva,Genus,,,,,
Rotifer,Undifferentiated,Phylum,,,,,
Scapholeberis,Undifferentiated,Genus,,,,,
Shrimp,Undifferentiated,Class,,,,,
Sida,Undifferentiated,Genus,,,,,
Simocephalus,Undifferentiated,Genus,,,,,
Sinocalanus adult,Adult,Genus,,,,,
Sinocalanus doerrii adult,Adult,Species,,,,,
Sinocalanus doerrii copepodid,Juvenile,Species,,,,,
Sinocalanus nauplii,Larva,Genus,,,,,
Skistodiaptomus pallidus,Undifferentiated,Species,,,,,
Small rock,NA,NA,,,,,
Sphaeromatidae,Undifferentiated,Family,,,,,
Tanaidacea,Undifferentiated,Class,,,,,
Tardigrada,Undifferentiated,Phylum,,,,,
Testudinella,Undifferentiated,Genus,,,,,
Tortanus,Undifferentiated,Genus,,,,,
Tortanus copepodid,Juvenile,Genus,,,,,
Trichocerca,Undifferentiated,Genus,,,,,
Trichotria,Undifferentiated,Genus,,,,,
Tricoptera larvae,Larva,Order,,,,,
Tropocyclops,Undifferentiated,Genus,,,,,
Tropocyclops prasinus,Undifferentiated,Species,,,,,
Turbellaria,Undifferentiated,Class,Turbellaria,,,,
Unidentified eggs,Egg,NA,NA,NA,NA,NA,NA
