Taxon,Life_History_Stage,Taxonomic level,Class,Order,Family,Genus,Species,Analy
Acanthocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops
Acanthocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops
Acanthocyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops
Acari,Undifferentiated,Subclass,Acari,,,,,Other
Acartia,Undifferentiated,Genus,Copepoda,Calanoida,Acartiidae,Acartia,,Calanoid other
Acartia copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartia,,Calanoid other
Acartiella copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartiella,,Calanoid other
Acartiella sinensis,Undifferentiated,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,Calanoid other
Acartiella sinensis adult,Adult,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,Calanoid other
Alona,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alona,,Cladocera
Alona/Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,,,Cladocera
Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alonella,,Cladocera
Americorophium,Undifferentiated,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,,Amphipoda
Americorophium juvenile,Juvenile,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,,Amphipoda
Americorophium spinicorne,Undifferentiated,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Amphipoda
Americorophium spinicorne adult,Adult,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Amphipoda
Americorophium spinicorne juvenile,Juvenile,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Amphipoda
Amphipoda,Undifferentiated,Order,Malacostraca,Amphipoda,,,,Amphipoda
Amphipoda parts,Undifferentiated,Order,Malacostraca,Amphipoda,,,,Amphipoda
Anchistropus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,,Cladocera
Animal parts,Undifferentiated,NA,,,,,,Other
Annelida,Undifferentiated,Phylum,,,,,,Other
Aphididae (winged) adult,Adult,Family,Insecta,Hemiptera,Aphididae,,,Other
Arthropoda parts,Undifferentiated,Phylum,,,,,,Other
Asplanchna,Undifferentiated,Genus,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,,Rotifer
Barnacle nauplii,Larva,Class,Cirripedia,,,,,Other
Bivalvia,Undifferentiated,Class,Bivalvia,,,,,Other
Bivalvia juvenile,Juvenile,Class,Bivalvia,,,,,Other
Bivalvia veliger,Larva,Class,Bivalvia,,,,,Other
Bosmina,Undifferentiated,Genus,Branchiopoda,Cladocera,Bosminidae,Bosmina,,Cladocera
Brachionus,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Brachionus,,Rotifer
Calanoida,Undifferentiated,Order,Copepoda,Calanoida,,,,Calanoid other
Calanoida adult,Adult,Order,Copepoda,Calanoida,,,,Calanoid other
Calanoida copepodid,Juvenile,Order,Copepoda,Calanoida,,,,Calanoid other
Calanoida nauplii,Larva,Order,Copepoda,Calanoida,,,,Calanoid other
Camptocercus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,,Cladocera
Ceriodaphnia,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,,Cladocera
Chironomidae adult,Adult,Family,Insecta,Hymenoptera,Chalcidoidea,,,Chironomidae
Chironomidae emergent,Adult,Family,Insecta,Hymenoptera,Chalcidoidea,,,Chironomidae
Chironomidae larvae,Larva,Family,Insecta,Hymenoptera,Chalcidoidea,,,Chironomidae
Chironomidae pupae,Larva,Family,Insecta,Hymenoptera,Chalcidoidea,,,Chironomidae
Chydoridae,Undifferentiated,Family,Branchiopoda,Cladocera,Chydoridae,,,Cladocera
Chydorus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Chydorus,,Cladocera
Cladocera,Undifferentiated,Order,Branchiopoda,Cladocera,,,,Cladocera
Cladocera nauplii,Larva,Order,Branchiopoda,Cladocera,,,,Cladocera
Copepod nauplii,Larva,Class,Copepoda,,,,,Copepod other
Copepoda,Undifferentiated,Class,Copepoda,,,,,Copepod other
Copepoda copepodid,Juvenile,Class,Copepoda,,,,,Copepod other
Copepoda mush,Undifferentiated,Class,Copepoda,,,,,Copepod other
Corixidae,Undifferentiated,Family,Insecta,Hemiptera,Corixidae,,,Other
Corophiidae,Undifferentiated,Family,Malacostraca,Amphipoda,Corophiidae,,,Amphipoda
Corophiidae juvenile,Juvenile,Family,Malacostraca,Amphipoda,Corophiidae,,,Amphipoda
Corophiidae parts (head),Undifferentiated,Family,Malacostraca,Amphipoda,Corophiidae,,,Amphipoda
Corophium,Undifferentiated,Genus,Malacostraca,Amphipoda,Corophiidae,Corophium,,Amphipoda
Crab zoea,Larva,Order,Malacostraca,Decapoda,,,,Other
Crangonyx,Undifferentiated,Genus,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,,Amphipoda
Crustacea,Undifferentiated,Subphylum,,,,,,Other
Culicidae larvae,Larva,Family,Insecta,Diptera,Culicidae,,,Other
Cumacean,Undifferentiated,Order,Malacostraca,Cumacea,,,,Other
Cumella vulgaris,Undifferentiated,Species,Malacostraca,Cumacea,Nannastacidae,,,Other
Cyclopoida,Undifferentiated,Order,Copepoda,Cyclopoida,,,,Cyclopoid other
Cyclopoida adult,Adult,Order,Copepoda,Cyclopoida,,,,Cyclopoid other
Cyclopoida copepodid,Juvenile,Order,Copepoda,Cyclopoida,,,,Cyclopoid other
Cyclopoida nauplii,Larva,Order,Copepoda,Cyclopoida,,,,Cyclopoid other
Daphnia,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Daphnia,,Cladocera
Daphnia Resting egg,Egg,Genus,Branchiopoda,Cladocera,Daphniidae,Daphnia,,Cladocera
Detritis,NA,NA,,,,,,Other
Diacyclops thomasi,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi,Cyclopoid other
Diacyclops thomasi adult,Adult,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi,Cyclopoid other
Diacyclops thomasi copepodid,Juvenile,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi,Cyclopoid other
Diaphanosoma,Undifferentiated,Genus,Branchiopoda,Cladocera,Sididae,Diaphanosoma,,Cladocera
Diaptomidae,Undifferentiated,Family,Copepoda,Calanoida,Diaptomidae,,,Calanoid other
Diaptomidae adult,Adult,Family,Copepoda,Calanoida,Diaptomidae,,,Calanoid other
Diaptomidae copepodid,Juvenile,Family,Copepoda,Calanoida,Diaptomidae,,,Calanoid other
Diaptomus,Undifferentiated,Genus,Copepoda,Calanoida,Diaptomidae,Diaptomus,,Calanoid other
Diaptomus copepodid,Juvenile,Genus,Copepoda,Calanoida,Diaptomidae,Diaptomus,,Calanoid other
Digestive material,NA,NA,,,,,,Other
Diptera adult,Adult,Order,Insecta,Diptera,,,,Other
Disparalona,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Disparalona,,Cladocera
Dunhevedia,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Dunhevedia,,Cladocera
Ectocyclops phaleratus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Ectocyclops,Ectocyclops phaleratus,Cyclopoid other
Empty,NA,NA,,,,,,Empty
Eogammarus confervicolus,Undifferentiated,Species,Malacostraca,Amphipoda,Gammaridae,Eogammarus,Eogammarus confervicolus,Amphipoda
Eogammarus confervicolus juvenile,Juvenile,Species,Malacostraca,Amphipoda,Gammaridae,Eogammarus,Eogammarus confervicolus,Amphipoda
Euchlanis,Undifferentiated,Genus,Eurotatoria,Ploima,Euchlanidae,Euchlanis,,Rotifer
Eucyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,,Cyclopoid other
Eucyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,,Cyclopoid other
Eucyclops agilis,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops agilis,Cyclopoid other
Eucyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,,Cyclopoid other
Eucyclops elegans,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops elegans,Cyclopoid other
Eucyclops pectinifer,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops pectinifer,Cyclopoid other
Eucyclops prionophorus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops prionophorus,Cyclopoid other
Eurycercus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Eurycercus,,Cladocera
Eurytemora carolleeae,Undifferentiated,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae,Eurytemora
Eurytemora carolleeae adult,Adult,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae,Eurytemora
Eurytemora carolleeae copepodid,Juvenile,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae,Eurytemora
Eurytemora carolleeae nauplii,Larva,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae,Eurytemora
Fish,Undifferentiated,Class,Actinopterygii,,,,,Other
Fish eggs,Egg,Class,Actinopterygii,,,,,Other
Gammaridae,Undifferentiated,Family,Malacostraca,Amphipoda,Gammaridae,,,Amphipoda
Gammaridae juvenile,Juvenile,Family,Malacostraca,Amphipoda,Gammaridae,,,Amphipoda
Gammarus,Undifferentiated,Genus,Malacostraca,Amphipoda,Gammaridae,Gammarus,,Amphipoda
Gammarus daiberi,Undifferentiated,Species,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus daiberi,Amphipoda
Gastropoda,Undifferentiated,Class,Gastropoda,,,,,Other
Gastropoda veliger,Larva,Class,Gastropoda,,,,,Other
Gnorimosphaeroma,,,,,,,,Isopoda
Graptoleberis,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Graptoleberis,,Cladocera
Halicyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,,Cyclopoid other
Halicyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Halicyclops,,Cyclopoid other
Hard pellet/ can't ID,NA,NA,,,,,,Other
Harpacticoida,Undifferentiated,Order,Copepoda,Harpacticoida,,,,Other
Harpacticoida adult,Adult,Order,Copepoda,Harpacticoida,,,,Other
Hemiptera,Undifferentiated,Order,Insecta,Hemiptera,,,,Other
Hemiptera nymph,Juvenile,Order,Insecta,Hemiptera,,,,Other
Hesperodiaptomus franciscanus,Undifferentiated,Species,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus,Hesperodiaptomus franciscanus,Calanoid other
Hyalella,Undifferentiated,Genus,Malacostraca,Amphipoda,Hyalellidae,Hyalella,,Amphipoda
Hyalella azteca,Undifferentiated,Species,Malacostraca,Amphipoda,Hyalellidae,Hyalella,Hyalella azteca,Amphipoda
Hydrachnidae,Undifferentiated,Family,Arachnida,Hydrachnidia,,,,Other
Hydrachnidia,Undifferentiated,Family,Arachnida,Hydrachnidia,,,,Other
Hydroptilidae larvae,Larva,Family,Insecta,Trichoptera,Hydroptilidae,,,Other
Ilyocryptus,Undifferentiated,Genus,Branchiopoda,Cladocera,Ilyocryptidae,Ilyocryptus,,Cladocera
Insect parts,NA,Class,Insecta,,,,,Other
Insecta,Undifferentiated,Class,Insecta,,,,,Other
Insecta adult,Adult,Class,Insecta,,,,,Other
Insecta larvae,Larva,Class,Insecta,,,,,Other
Isopod,Undifferentiated,Order,Malacostraca,Isopoda,,,,Isopoda
Keratella,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Keratella,,Rotifer
Kurzia,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Kurzia,,Rotifer
Larval Fish,Larva,Class,Actinopterygii,,,,,Other
Lecane,Undifferentiated,Genus,Eurotatoria,Ploima,Lecanidae,Lecane,,Rotifer
Lepadella,Undifferentiated,Genus,Eurotatoria,Ploima,Lepadellidae,Lepadella,,Rotifer
Leydigia,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Leydigia,,Cladocera
Limnoithona,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,,Limnoithona
Limnoithona adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,,Limnoithona
Limnoithona copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,,Limnoithona
Limnoithona sinensis,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis,Limnoithona
Limnoithona sinensis adult,Adult,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona sinensis,Limnoithona
Limnoithona tetraspina,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina,Limnoithona
Limnoithona tetraspina adult,Adult,Species,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,Limnoithona tetraspina,Limnoithona
Loose copepod eggs,Egg,Class,Copepoda,,,,,Other
Macrocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,,Cyclopoid other
Macrocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,,Cyclopoid other
Macrocyclops albidus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,Macrocyclops albidus,Cyclopoid other
Macrocyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,,Cyclopoid other
Macrothrix,Undifferentiated,Genus,Branchiopoda,Cladocera,Macrothricidae,Macrothrix,,Cladocera
Maeotias marginata (large),Undifferentiated,Species,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,Maeotias marginata,Other
Mesocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,,Cyclopoid other
Mesocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,,Cyclopoid other
Mesocyclops edax,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,Mesocyclops edax,Cyclopoid other
Microcyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,,Cyclopoid other
Microcyclops rubellus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Microcyclops,Microcyclops rubellus,Cyclopoid other
Moina,Undifferentiated,Genus,Branchiopoda,Cladocera,Moinidae,Moina,,Cladocera
Monospilus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Monospilus,,Cladocera
Monospilus dispar,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Monospilus,Monospilus dispar,Cladocera
Munnidae,,,,,,,,Isopoda
Mysid,Undifferentiated,Order,Malacostraca,Mysida,Mysidae,,,Other
Nematoda,Undifferentiated,Phylum,,,,,,Other
Nippoleucon hinumensis,Undifferentiated,Species,Malacostraca,Cumacea,Leuconidae,Nippoleucon,Nippoleucon hinumensis,Other
Notholca,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Notholca,,Rotifer
Oithona,Undifferentiated,Genus,Copepoda,Cyclopoida,Oithonidae,Oithona,,Cyclopoid other
Oithona copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Oithonidae,Oithona,,Cyclopoid other
Oithona davisae,Undifferentiated,Species,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona davisae,Cyclopoid other
Oithona similis,Undifferentiated,Species,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona similis,Cyclopoid other
Osphranticum copepodid,Juvenile,Genus,Copepoda,Calanoida,Centropagidae,Osphranticum,,Calanoid other
Osphranticum labronectum,Undifferentiated,Species,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum,Calanoid other
Osphranticum labronectum adult,Adult,Species,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum,Calanoid other
Ostracoda,Undifferentiated,Order,Ostracoda,,,,,Other
Paracyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,,Cyclopoid other
Paracyclops chiltoni,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,Paracyclops chiltoni,Cyclopoid other
Paracyclops poppei,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Paracyclops,Paracyclops poppei,Cyclopoid other
Picripleuroxus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Picripleuroxus,,Cladocera
Plant material,NA,NA,,,,,,Other
Plationus,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Plaionus,,Rotifer
Platyias,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Platyias,,Rotifer
Pleuroxus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Pleuroxus,,Cladocera
Polyarthra,Undifferentiated,Genus,Eurotatoria,Ploima,Synchaetidae,Polyarthra,,Rotifer
Polychaete larvae,Larva,Class,Polychaeta,,,,,Other
Pseudochydorus,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Pseudochydorus,,Cladocera
Pseudodiaptomus forbesi,Undifferentiated,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,Pseudodiaptomus
Pseudodiaptomus forbesi adult,Adult,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,Pseudodiaptomus
Pseudodiaptomus forbesi copepodid,Juvenile,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,Pseudodiaptomus
Pseudodiaptomus forbesi nauplii,Larva,Species,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,Pseudodiaptomus
Pseudodiaptomus nauplii,Larva,Genus,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,,Pseudodiaptomus
Rotifer,Undifferentiated,Phylum,,,,,,Rotifer
Scapholeberis,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Scapholeberis,,Cladocera
Shrimp,Undifferentiated,Class,Malacostraca,Decapoda,,,,Other
Sida,Undifferentiated,Genus,Branchiopoda,Cladocera,Sididae,Sida,,Cladocera
Simocephalus,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Simocephalus,,Cladocera
Sinocalanus adult,Adult,Genus,Copepoda,Calanoida,Centropagidae,Sinocalanus,,Calanoid other
Sinocalanus doerrii adult,Adult,Species,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,Calanoid other
Sinocalanus doerrii copepodid,Juvenile,Species,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,Calanoid other
Sinocalanus nauplii,Larva,Genus,Copepoda,Calanoida,Centropagidae,Sinocalanus,,Calanoid other
Skistodiaptomus pallidus,Undifferentiated,Species,Copepoda,Calanoida,Diaptomidae,Skistodiaptomus,Skistodiaptomus pallidus,Calanoid other
Small rock,NA,NA,,,,,,Other
Sphaeromatidae,Undifferentiated,Family,Malacostraca,Isopoda,Sphaeromatidae,,,Isopoda
Tanaidacea,Undifferentiated,Class,Malacostraca,Tanaidacea,,,,Other
Tardigrada,Undifferentiated,Phylum,,,,,,Other
Testudinella,Undifferentiated,Genus,Eurotatoria,Flosculariaceae,Testudinellidae,Testudinella,,Rotifer
Tortanus,Undifferentiated,Genus,Copepoda,Calanoida,Tortanidae,Tortanus,,Calanoid other
Tortanus copepodid,Juvenile,Genus,Copepoda,Calanoida,Tortanidae,Tortanus,,Calanoid other
Trichocerca,Undifferentiated,Genus,Eurotatoria,Ploima,Trichocercidae,Trichocerca,,Other
Trichotria,Undifferentiated,Genus,Insecta,Trichoptera,Trichotriidae,Trichotria,,Rotifer
Tricoptera larvae,Larva,Order,Insecta,Trichoptera,,,,Other
Tropocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,,Cyclopoid other
Tropocyclops prasinus,Undifferentiated,Species,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,Tropocyclops prasinus,Cyclopoid other
Turbellaria,Undifferentiated,Class,Turbellaria,,,,,Other
Unidentified eggs,Egg,NA,,,,,,Other
Elmidae,Undifferentiated,Family,Insecta,Coleoptera,Elmidae,,,Other
Hydroptilidae pupae,Larva,Family,Insecta,Trichoptera,Hydroptilidae,,,Other
Insect pupae,Larva,Class,Insecta,,,,,Other
Leptoceridae larvae,Larva,Family,Insecta,Trichoptera,Leptoceridae,,,Other
Munnidae,Undifferentiated,Family,Malacostraca,Isopoda,Munnidae,,,Isopoda
Naididae,Undifferentiated,Family,Polychaeta,Tubificida,Naididae,,,Other
Polycentropodidae larvae,Larva,Family,Insecta,Trichoptera,Polycentropodidae,,,Other
Trichoptera adult,Adult,Order,Insecta,Trichoptera,,,,Other
