Site,Cage,Enclosure,Mesh,Pre_FL_cm,Post_FL_cm,PropChange_FL,Pre_Weight_g,Post_Weight_g,PropChange_Weight,Pre_CF,Post_CF,Delta_CF
DWSC,A,A,wrap,6,6.1,0.02,1.59,1.28,-0.19,0.736,0.564,-0.172
DWSC,A,A,wrap,6.3,6.4,0.02,1.1,0.97,-0.12,0.44,0.37,-0.07
DWSC,A,A,wrap,5.6,5.8,0.04,1.2,1.06,-0.12,0.683,0.543,-0.14
DWSC,A,A,wrap,NA,6.1,NA,NA,1.3,NA,NA,0.573,NA
DWSC,A,A,wrap,6.5,6.6,0.02,1.89,1.62,-0.14,0.688,0.563,-0.125
DWSC,A,A,wrap,5.7,5.7,0,1.15,1.14,-0.01,0.621,0.616,-0.005
DWSC,A,A,wrap,5.9,5.9,0,1.13,1.19,0.05,0.55,0.579,0.029
DWSC,A,A,wrap,6.6,6.7,0.02,2.29,2.02,-0.12,0.797,0.672,-0.125
DWSC,A,A,wrap,6.4,6.4,0,1.88,1.63,-0.13,0.717,0.622,-0.095
DWSC,A,A,wrap,5.8,5.8,0,1.38,1.1,-0.2,0.707,0.564,-0.143
DWSC,A,A,wrap,6.7,6.7,0,2.27,2.02,-0.11,0.755,0.672,-0.083
DWSC,A,A,wrap,NA,6.9,NA,NA,1.56,NA,NA,0.475,NA
DWSC,A,A,wrap,6,6,0,1.45,1.25,-0.14,0.671,0.579,-0.092
DWSC,A,A,wrap,6.1,6,-0.02,1.32,1.05,-0.2,0.582,0.486,-0.096
DWSC,A,A,wrap,6.1,6.3,0.03,1.55,1.31,-0.15,0.683,0.524,-0.159
DWSC,A,A,wrap,6,5.8,-0.03,1.31,1.13,-0.14,0.606,0.579,-0.027
DWSC,A,A,wrap,5,5.3,0.06,0.98,0.88,-0.1,0.784,0.591,-0.193
DWSC,A,A,wrap,7.1,7,-0.01,2.5,2.16,-0.14,0.698,0.63,-0.068
DWSC,A,A,wrap,6.2,6.2,0,1.57,1.5,-0.04,0.659,0.629,-0.03
DWSC,A,A,wrap,5.5,5.6,0.02,1.13,0.91,-0.19,0.679,0.518,-0.161
DWSC,A,A,wrap,NA,5.6,NA,NA,0.96,NA,NA,0.547,NA
DWSC,A,A,wrap,6.7,6.6,-0.01,1.96,1.77,-0.1,0.652,0.616,-0.036
DWSC,A,A,wrap,6,6.2,0.03,1.71,1.53,-0.11,0.792,0.642,-0.15
DWSC,A,A,wrap,6.4,6.4,0,1.7,1.41,-0.17,0.648,0.538,-0.11
DWSC,A,A,wrap,6.7,6.9,0.03,1.88,1.66,-0.12,0.625,0.505,-0.12
DWSC,A,A,wrap,6.5,6.4,-0.02,1.49,1.17,-0.21,0.543,0.446,-0.097
DWSC,A,A,wrap,NA,6.1,NA,NA,0.78,NA,NA,0.344,NA
DWSC,A,A,wrap,5.2,5.4,0.04,0.78,0.53,-0.32,0.555,0.337,-0.218
DWSC,A,A,wrap,5.6,5.7,0.02,1.16,0.98,-0.16,0.661,0.529,-0.132
DWSC,A,A,wrap,6,6,0,1.33,1.13,-0.15,0.616,0.523,-0.093
DWSC,A,A,wrap,6.9,7.1,0.03,2.39,2.04,-0.15,0.728,0.57,-0.158
DWSC,A,A,wrap,NA,5.3,NA,NA,0.84,NA,NA,0.564,NA
DWSC,A,A,wrap,6.3,6.1,-0.03,1.45,1.16,-0.2,0.58,0.511,-0.069
DWSC,A,A,wrap,5.5,5.6,0.02,1.15,1.02,-0.11,0.691,0.581,-0.11
DWSC,A,A,wrap,6.1,6.2,0.02,1.47,1.18,-0.2,0.648,0.495,-0.153
DWSC,A,A,wrap,5.5,5.6,0.02,1.01,0.75,-0.26,0.607,0.427,-0.18
DWSC,A,A,wrap,6,6,0,1.55,1.19,-0.23,0.718,0.551,-0.167
DWSC,A,A,wrap,6.2,6.3,0.02,1.56,1.25,-0.2,0.655,0.5,-0.155
DWSC,A,A,wrap,6,6.2,0.03,1.21,0.87,-0.28,0.56,0.365,-0.195
DWSC,A,A,wrap,6,6,0,1.06,0.75,-0.29,0.491,0.347,-0.144
DWSC,A,A,wrap,5,5.2,0.04,0.83,0.7,-0.16,0.664,0.498,-0.166
DWSC,A,A,wrap,6.3,6.3,0,1.62,1.33,-0.18,0.648,0.532,-0.116
DWSC,A,A,wrap,6.4,6.5,0.02,1.8,1.64,-0.09,0.687,0.597,-0.09
DWSC,A,A,wrap,6.3,6.4,0.02,1.74,1.52,-0.13,0.696,0.58,-0.116
DWSC,A,A,wrap,5.8,6,0.03,1.27,0.99,-0.22,0.651,0.458,-0.193
DWSC,A,A,wrap,6.8,6.8,0,2.13,1.85,-0.13,0.677,0.588,-0.089
DWSC,A,A,wrap,5.3,5.5,0.04,1.01,0.96,-0.05,0.678,0.577,-0.101
DWSC,A,A,wrap,7,7.1,0.01,1.92,1.47,-0.23,0.56,0.411,-0.149
DWSC,A,A,wrap,7.5,7.6,0.01,3.09,2.84,-0.08,0.732,0.647,-0.085
DWSC,A,A,wrap,6.8,6.9,0.01,2.55,2.18,-0.15,0.811,0.664,-0.147
DWSC,A,A,wrap,6,6,0,1.2,1.06,-0.12,0.556,0.491,-0.065
DWSC,A,A,wrap,5.9,6.9,0.17,1.31,1.1,-0.16,0.638,0.335,-0.303
DWSC,A,A,wrap,NA,4.9,NA,NA,0.47,NA,NA,0.399,NA
DWSC,A,A,wrap,5.7,5.7,0,1.01,0.77,-0.24,0.545,0.416,-0.129
DWSC,A,A,wrap,5.8,5.9,0.02,1.25,1,-0.2,0.641,0.487,-0.154
DWSC,A,A,wrap,5.9,5.7,-0.03,1.24,1.01,-0.19,0.604,0.545,-0.059
DWSC,A,A,wrap,NA,5.5,NA,NA,0.79,NA,NA,0.475,NA
DWSC,A,A,wrap,5.9,6,0.02,1.44,1.32,-0.08,0.701,0.611,-0.09
DWSC,A,A,wrap,NA,5.9,NA,NA,1.17,NA,NA,0.57,NA
RV,A,A,wrap,5.9,5.8,-0.02,1.32,1.44,0.09,0.643,0.738,0.095
RV,A,A,wrap,5.9,6,0.02,1.45,1.68,0.16,0.706,0.778,0.072
RV,A,A,wrap,6.7,6.9,0.03,1.65,2.05,0.24,0.549,0.624,0.075
RV,A,A,wrap,6.1,6.3,0.03,1.5,1.74,0.16,0.661,0.696,0.035
RV,A,A,wrap,6,5.9,-0.02,1.07,1.34,0.25,0.495,0.652,0.157
RV,A,A,wrap,6.4,6.5,0.02,1.67,2.1,0.26,0.637,0.765,0.128
RV,A,A,wrap,5.8,5.8,0,1.12,1.63,0.46,0.574,0.835,0.261
RV,A,A,wrap,6.1,6.1,0,1.35,1.72,0.27,0.595,0.758,0.163
RV,A,A,wrap,5,5.5,0.1,0.78,1.21,0.55,0.624,0.727,0.103
RV,A,A,wrap,6.3,6.3,0,1.79,2.13,0.19,0.716,0.852,0.136
RV,A,A,wrap,6,6,0,1.21,1.46,0.21,0.56,0.676,0.116
RV,A,A,wrap,6.4,6.5,0.02,1.71,1.8,0.05,0.652,0.655,0.003
RV,A,A,wrap,5.6,5.5,-0.02,0.98,1.2,0.22,0.558,0.721,0.163
RV,A,A,wrap,5.9,5.9,0,1.05,1.49,0.42,0.511,0.725,0.214
RV,A,A,wrap,6.7,6.8,0.01,2.35,2.47,0.05,0.781,0.786,0.005
RV,A,A,wrap,4.7,5,0.06,0.73,0.97,0.33,0.703,0.776,0.073
RV,A,A,wrap,6.1,6.3,0.03,1.35,1.75,0.3,0.595,0.7,0.105
RV,A,A,wrap,6,6.1,0.02,1.29,1.53,0.19,0.597,0.674,0.077
RV,A,A,wrap,5.7,5.8,0.02,1.07,1.26,0.18,0.578,0.646,0.068
RV,A,A,wrap,6.3,6.4,0.02,1.53,1.83,0.2,0.612,0.698,0.086
RV,A,A,wrap,5.6,5.5,-0.02,1.18,1.42,0.2,0.672,0.853,0.181
RV,A,A,wrap,6,5.9,-0.02,1.41,1.61,0.14,0.653,0.784,0.131
RV,A,A,wrap,5.4,5.5,0.02,0.87,1.3,0.49,0.553,0.781,0.228
RV,A,A,wrap,6,6.2,0.03,1.2,1.64,0.37,0.556,0.688,0.132
RV,A,A,wrap,5.9,6,0.02,1.26,1.37,0.09,0.613,0.634,0.021
RV,A,A,wrap,6.9,7,0.01,2.01,2.18,0.08,0.612,0.636,0.024
RV,A,A,wrap,5.5,5.9,0.07,1.1,1.25,0.14,0.661,0.609,-0.052
RV,A,A,wrap,5.9,6.4,0.08,1.36,2,0.47,0.662,0.763,0.101
RV,A,A,wrap,6.9,5.9,-0.14,2.16,2.16,0,0.658,1.052,0.394
RV,A,A,wrap,6,6,0,1.28,1.44,0.12,0.593,0.667,0.074
RV,A,A,wrap,5.5,5.5,0,1.04,1.12,0.08,0.625,0.673,0.048
RV,A,A,wrap,6,6.2,0.03,1.54,1.65,0.07,0.713,0.692,-0.021
RV,A,A,wrap,5.5,5.8,0.05,1.14,1.51,0.32,0.685,0.774,0.089
RV,A,A,wrap,6.4,6.5,0.02,1.68,1.9,0.13,0.641,0.692,0.051
RV,A,A,wrap,5.3,5.5,0.04,1.08,1.25,0.16,0.725,0.751,0.026
RV,A,A,wrap,6,6.2,0.03,1.55,1.72,0.11,0.718,0.722,0.004
RV,A,A,wrap,5.8,5.9,0.02,1.14,1.32,0.16,0.584,0.643,0.059
RV,A,A,wrap,6.7,5.8,-0.13,2.08,2.15,0.03,0.692,1.102,0.41
RV,A,A,wrap,6.1,6.3,0.03,1.31,1.57,0.2,0.577,0.628,0.051
RV,A,A,wrap,5.7,5.9,0.04,1.19,1.21,0.02,0.643,0.589,-0.054
RV,A,A,wrap,5.7,5.9,0.04,1.27,1.49,0.17,0.686,0.725,0.039
RV,A,A,wrap,6.3,6,-0.05,1.67,1.8,0.08,0.668,0.833,0.165
RV,A,A,wrap,6.1,6.3,0.03,1.72,1.85,0.08,0.758,0.74,-0.018
RV,A,A,wrap,6,6.2,0.03,1.64,1.77,0.08,0.759,0.743,-0.016
RV,A,A,wrap,5.5,5.1,-0.07,1.04,1.17,0.12,0.625,0.882,0.257
RV,A,A,wrap,6.4,6.3,-0.02,1.6,1.5,-0.06,0.61,0.6,-0.01
RV,A,A,wrap,6.5,6.6,0.02,1.8,2.02,0.12,0.655,0.703,0.048
RV,A,A,wrap,4.7,5.1,0.09,0.71,1.06,0.49,0.684,0.799,0.115
RV,A,A,wrap,5.7,5.9,0.04,1.23,1.5,0.22,0.664,0.73,0.066
RV,A,A,wrap,5.3,5.5,0.04,0.95,1.15,0.21,0.638,0.691,0.053
RV,A,A,wrap,6.2,6.3,0.02,1.85,2.08,0.12,0.776,0.832,0.056
RV,A,A,wrap,5.3,5.5,0.04,1.04,1.22,0.17,0.699,0.733,0.034
RV,A,A,wrap,5.1,5.3,0.04,1.02,0.86,-0.16,0.769,0.578,-0.191
RV,A,A,wrap,5.4,5.6,0.04,0.87,1.01,0.16,0.553,0.575,0.022
RV,A,A,wrap,6,6,0,1.34,1.54,0.15,0.62,0.713,0.093
RV,A,A,wrap,5.5,NA,NA,1.11,NA,NA,0.667,NA,NA
RV,A,A,wrap,5.4,5.5,0.02,1.12,1.49,0.33,0.711,0.896,0.185
RV,A,A,wrap,NA,6.2,NA,NA,1.72,NA,NA,0.722,NA
RV,A,A,wrap,NA,6,NA,NA,1.48,NA,NA,0.685,NA
RV,A,A,wrap,NA,6.1,NA,NA,1.72,NA,NA,0.758,NA
RV,A,A,wrap,NA,6,NA,NA,1.43,NA,NA,0.662,NA
RV,A,A,wrap,NA,5.4,NA,NA,1.2,NA,NA,0.762,NA
DWSC,B,B,large,6.3,6.2,-0.02,1.82,1.2,-0.34,0.728,0.504,-0.224
DWSC,B,B,large,6.3,6.1,-0.03,1.38,1.01,-0.27,0.552,0.445,-0.107
DWSC,B,B,large,6.1,6,-0.02,1.62,1.44,-0.11,0.714,0.667,-0.047
DWSC,B,B,large,6,6,0,1.29,0.91,-0.29,0.597,0.421,-0.176
DWSC,B,B,large,6.8,6.6,-0.03,2.08,1.8,-0.13,0.662,0.626,-0.036
DWSC,B,B,large,7,6.9,-0.01,2.3,1.86,-0.19,0.671,0.566,-0.105
DWSC,B,B,large,6.2,6.2,0,1.54,1.37,-0.11,0.646,0.575,-0.071
DWSC,B,B,large,6.2,6.2,0,1.64,1.48,-0.1,0.688,0.621,-0.067
DWSC,B,B,large,6.6,6.5,-0.02,2.24,1.33,-0.41,0.779,0.484,-0.295
DWSC,B,B,large,6.5,6.4,-0.02,1.87,1.32,-0.29,0.681,0.504,-0.177
DWSC,B,B,large,6.1,6.2,0.02,1.29,1.11,-0.14,0.568,0.466,-0.102
DWSC,B,B,large,6.2,6.1,-0.02,1.31,0.98,-0.25,0.55,0.432,-0.118
DWSC,B,B,large,6,6.1,0.02,1.38,1.09,-0.21,0.639,0.48,-0.159
DWSC,B,B,large,6.5,6.4,-0.02,1.62,1.34,-0.17,0.59,0.511,-0.079
DWSC,B,B,large,6.2,6.2,0,1.69,1.49,-0.12,0.709,0.625,-0.084
DWSC,B,B,large,6.4,6.5,0.02,1.69,1.41,-0.17,0.645,0.513,-0.132
DWSC,B,B,large,6.3,6.6,0.05,1.29,1.5,0.16,0.516,0.522,0.006
DWSC,B,B,large,5.7,5.7,0,1.17,1.06,-0.09,0.632,0.572,-0.06
DWSC,B,B,large,5.9,5.8,-0.02,1.65,1.57,-0.05,0.803,0.805,0.002
DWSC,B,B,large,7.3,7.2,-0.01,2.49,2.11,-0.15,0.64,0.565,-0.075
DWSC,B,B,large,5.8,6,0.03,1.35,1.19,-0.12,0.692,0.551,-0.141
DWSC,B,B,large,6.3,6.2,-0.02,1.83,1.31,-0.28,0.732,0.55,-0.182
DWSC,B,B,large,5.8,5.7,-0.02,1.28,1.11,-0.13,0.656,0.599,-0.057
DWSC,B,B,large,6.1,6.2,0.02,1.61,1.41,-0.12,0.709,0.592,-0.117
DWSC,B,B,large,6.4,6.5,0.02,2.14,1.88,-0.12,0.816,0.685,-0.131
DWSC,B,B,large,5.7,5.5,-0.04,0.96,0.76,-0.21,0.518,0.457,-0.061
DWSC,B,B,large,6,6.1,0.02,1.35,1.01,-0.25,0.625,0.445,-0.18
DWSC,B,B,large,6.9,5.6,-0.19,2.3,1.68,-0.27,0.7,0.957,0.257
DWSC,B,B,large,6.6,5.6,-0.15,2.04,1.77,-0.13,0.71,1.008,0.298
DWSC,B,B,large,6.4,6.5,0.02,1.59,1.36,-0.14,0.607,0.495,-0.112
DWSC,B,B,large,6.5,6.5,0,1.91,1.63,-0.15,0.695,0.594,-0.101
DWSC,B,B,large,NA,5.1,NA,NA,0.86,NA,NA,0.648,NA
DWSC,B,B,large,6.8,6.5,-0.04,1.67,1.29,-0.23,0.531,0.47,-0.061
DWSC,B,B,large,5.2,5.5,0.06,1.03,0.88,-0.15,0.733,0.529,-0.204
DWSC,B,B,large,6.7,6.7,0,2.19,2.05,-0.06,0.728,0.682,-0.046
DWSC,B,B,large,6.5,6.4,-0.02,1.71,1.36,-0.2,0.623,0.519,-0.104
DWSC,B,B,large,6.1,6.2,0.02,1.55,1.28,-0.17,0.683,0.537,-0.146
DWSC,B,B,large,4.8,5,0.04,0.81,0.66,-0.19,0.732,0.528,-0.204
DWSC,B,B,large,6.4,6.3,-0.02,1.68,0.94,-0.44,0.641,0.376,-0.265
DWSC,B,B,large,5.5,5.7,0.04,1.19,1.04,-0.13,0.715,0.562,-0.153
DWSC,B,B,large,5.4,5.6,0.04,1.07,0.97,-0.09,0.68,0.552,-0.128
DWSC,B,B,large,5.5,5.6,0.02,0.92,0.68,-0.26,0.553,0.387,-0.166
DWSC,B,B,large,NA,6.1,NA,NA,1.16,NA,NA,0.511,NA
DWSC,B,B,large,6.5,6.6,0.02,1,1.7,0.7,0.364,0.591,0.227
DWSC,B,B,large,5.3,5.4,0.02,0.85,0.69,-0.19,0.571,0.438,-0.133
DWSC,B,B,large,7,7.1,0.01,2.78,2.52,-0.09,0.81,0.704,-0.106
DWSC,B,B,large,5.9,6,0.02,1.36,1.06,-0.22,0.662,0.491,-0.171
DWSC,B,B,large,5.8,6,0.03,1.42,1.19,-0.16,0.728,0.551,-0.177
DWSC,B,B,large,6.5,6.7,0.03,1.73,1.43,-0.17,0.63,0.475,-0.155
DWSC,B,B,large,5.9,6.2,0.05,1.36,1,-0.26,0.662,0.42,-0.242
DWSC,B,B,large,7.1,6.9,-0.03,2.1,1.79,-0.15,0.587,0.545,-0.042
DWSC,B,B,large,6.2,6.2,0,1.51,1.13,-0.25,0.634,0.474,-0.16
DWSC,B,B,large,6.2,6.1,-0.02,1.52,1.37,-0.1,0.638,0.604,-0.034
DWSC,B,B,large,6.2,6.3,0.02,1.91,1.96,0.03,0.801,0.784,-0.017
DWSC,B,B,large,NA,5.9,NA,NA,1.22,NA,NA,0.594,NA
DWSC,B,B,large,5.9,6.1,0.03,1.6,1.36,-0.15,0.779,0.599,-0.18
RV,B,B,large,6.4,6.4,0,1.3,1.54,0.18,0.496,0.587,0.091
RV,B,B,large,5.8,6.3,0.09,1.44,1.8,0.25,0.738,0.72,-0.018
RV,B,B,large,6.3,6.8,0.08,1.69,1.77,0.05,0.676,0.563,-0.113
RV,B,B,large,NA,6.4,NA,NA,1.77,NA,NA,0.675,NA
RV,B,B,large,NA,6.3,NA,NA,1.97,NA,NA,0.788,NA
RV,B,B,large,5.3,5.5,0.04,0.84,1.04,0.24,0.564,0.625,0.061
RV,B,B,large,5.9,6.1,0.03,1.28,1.64,0.28,0.623,0.723,0.1
RV,B,B,large,6.2,6.5,0.05,1.66,2.1,0.27,0.697,0.765,0.068
RV,B,B,large,6.3,6.6,0.05,1.86,2.07,0.11,0.744,0.72,-0.024
RV,B,B,large,6.2,6.3,0.02,1.52,1.67,0.1,0.638,0.668,0.03
RV,B,B,large,5.8,6.1,0.05,1.34,1.62,0.21,0.687,0.714,0.027
RV,B,B,large,NA,6.4,NA,NA,1.89,NA,NA,0.721,NA
RV,B,B,large,5.9,6,0.02,1.12,1.45,0.29,0.545,0.671,0.126
RV,B,B,large,5.3,5.5,0.04,0.95,1.16,0.22,0.638,0.697,0.059
RV,B,B,large,6,6.1,0.02,1.15,1.55,0.35,0.532,0.683,0.151
RV,B,B,large,5.4,5.8,0.07,0.93,1.22,0.31,0.591,0.625,0.034
RV,B,B,large,4.9,5.3,0.08,0.72,0.94,0.31,0.612,0.631,0.019
RV,B,B,large,5.9,6,0.02,1.31,1.58,0.21,0.638,0.731,0.093
RV,B,B,large,5.6,5.9,0.05,1.1,1.38,0.25,0.626,0.672,0.046
RV,B,B,large,7,7,0,2.23,2.43,0.09,0.65,0.708,0.058
RV,B,B,large,6.5,6.8,0.05,1.82,2.02,0.11,0.663,0.642,-0.021
RV,B,B,large,6.1,6.5,0.07,1.48,1.84,0.24,0.652,0.67,0.018
RV,B,B,large,6.1,5.4,-0.11,1.41,1.74,0.23,0.621,1.105,0.484
RV,B,B,large,5.2,5.6,0.08,0.94,1.24,0.32,0.669,0.706,0.037
RV,B,B,large,5.2,5.5,0.06,0.88,1.18,0.34,0.626,0.709,0.083
RV,B,B,large,5.3,5.5,0.04,0.89,1.17,0.31,0.598,0.703,0.105
RV,B,B,large,5.7,6.2,0.09,1.3,1.7,0.31,0.702,0.713,0.011
RV,B,B,large,5.6,5.9,0.05,1.03,1.39,0.35,0.587,0.677,0.09
RV,B,B,large,5.6,6,0.07,1.09,1.49,0.37,0.621,0.69,0.069
RV,B,B,large,5.6,5.7,0.02,1.02,1.19,0.17,0.581,0.643,0.062
RV,B,B,large,5.9,6.2,0.05,1.31,1.59,0.21,0.638,0.667,0.029
RV,B,B,large,5.3,5.6,0.06,1.08,1.22,0.13,0.725,0.695,-0.03
RV,B,B,large,5.9,6.1,0.03,1.2,1.44,0.2,0.584,0.634,0.05
RV,B,B,large,6.3,6.7,0.06,2.12,2.31,0.09,0.848,0.768,-0.08
RV,B,B,large,NA,6.4,NA,NA,1.75,NA,NA,0.668,NA
RV,B,B,large,6.2,6.5,0.05,1.64,1.89,0.15,0.688,0.688,0
RV,B,B,large,5.7,6,0.05,1.08,1.43,0.32,0.583,0.662,0.079
RV,B,B,large,6.3,6.4,0.02,1.58,1.74,0.1,0.632,0.664,0.032
RV,B,B,large,6.6,7,0.06,1.47,2.25,0.53,0.511,0.656,0.145
RV,B,B,large,NA,7.4,NA,NA,2.9,NA,NA,0.716,NA
RV,B,B,large,6.2,6.5,0.05,1.65,2.09,0.27,0.692,0.761,0.069
RV,B,B,large,5.4,5.6,0.04,0.97,1.17,0.21,0.616,0.666,0.05
RV,B,B,large,6.5,6.6,0.02,1.97,2.15,0.09,0.717,0.748,0.031
RV,B,B,large,6.1,6.3,0.03,1.42,1.66,0.17,0.626,0.664,0.038
RV,B,B,large,6,6.3,0.05,1.56,1.65,0.06,0.722,0.66,-0.062
RV,B,B,large,6,6.4,0.07,1.5,1.81,0.21,0.694,0.69,-0.004
RV,B,B,large,6.3,6.4,0.02,1.71,1.9,0.11,0.684,0.725,0.041
RV,B,B,large,6.5,6.7,0.03,2,2.29,0.15,0.728,0.761,0.033
RV,B,B,large,6.3,6.4,0.02,1.54,1.67,0.08,0.616,0.637,0.021
RV,B,B,large,6.5,6.6,0.02,1.94,2.04,0.05,0.706,0.71,0.004
RV,B,B,large,5.7,6,0.05,0.96,1.26,0.31,0.518,0.583,0.065
RV,B,B,large,6,6.4,0.07,1.36,1.73,0.27,0.63,0.66,0.03
RV,B,B,large,NA,6.2,NA,NA,1.46,NA,NA,0.613,NA
RV,B,B,large,4.6,5,0.09,0.62,0.81,0.31,0.637,0.648,0.011
RV,B,B,large,5.6,6,0.07,1.36,1.48,0.09,0.774,0.685,-0.089
RV,B,B,large,6.1,6.2,0.02,1.31,1.55,0.18,0.577,0.65,0.073
RV,B,B,large,5.3,5.6,0.06,0.79,0.98,0.24,0.531,0.558,0.027
RV,B,B,large,5.7,6,0.05,1.18,1.52,0.29,0.637,0.704,0.067
RV,B,B,large,5.3,5.8,0.09,0.94,1.34,0.43,0.631,0.687,0.056
DWSC,B,B,large,6.2,6.4,0.03,1.71,1.48,-0.13,0.717,0.565,-0.152
DWSC,B,B,large,6.8,6.8,0,2.19,1.94,-0.11,0.696,0.617,-0.079
DWSC,B,B,large,6.4,6.5,0.02,1.6,1.2,-0.25,0.61,0.437,-0.173
DWSC,B,B,large,6.2,6.3,0.02,1.54,1.28,-0.17,0.646,0.512,-0.134
RV,B,B,large,5.7,5.9,0.04,1.2,1.4,0.17,0.648,0.682,0.034
RV,B,B,large,5.9,6,0.02,1.11,1.33,0.2,0.54,0.616,0.076
