Site,Cage,Enclosure,Mesh,Pre_FL_cm,Post_FL_cm,PropChange_FL,Pre_Weight_g,Post_Weight_g,PropChange_Weight,Pre_CF,Post_CF,Delta_CF
RV,D,C,small,5.6,5.8,0.04,1.23,1.38,0.12,0.7,0.707,0.007
RV,D,C,small,6,6.4,0.07,1.44,1.64,0.14,0.667,0.626,-0.041
RV,D,C,small,5.9,6.1,0.03,1.25,1.5,0.2,0.609,0.661,0.052
RV,D,C,small,5.5,6,0.09,0.95,1.25,0.32,0.571,0.579,0.008
RV,D,C,small,NA,6.3,NA,NA,1.56,NA,NA,0.624,NA
RV,D,C,small,4.9,5.2,0.06,0.68,0.96,0.41,0.578,0.683,0.105
DWSC,E,A,wrap,5.7,5.6,-0.02,1.16,1.04,-0.1,0.626,0.592,-0.034
DWSC,E,A,wrap,6.4,6.4,0,1.73,1.55,-0.1,0.66,0.591,-0.069
DWSC,E,A,wrap,6.8,6.8,0,2.07,1.77,-0.14,0.658,0.563,-0.095
DWSC,E,A,wrap,6,6.1,0.02,1.67,1.52,-0.09,0.773,0.67,-0.103
DWSC,E,A,wrap,5.5,5.5,0,0.99,0.8,-0.19,0.595,0.481,-0.114
DWSC,E,A,wrap,6.4,6.2,-0.03,1.65,1.38,-0.16,0.629,0.579,-0.05
DWSC,E,A,wrap,6.8,6.7,-0.01,1.87,1.79,-0.04,0.595,0.595,0
DWSC,E,A,wrap,6,6.1,0.02,1.39,1.3,-0.06,0.644,0.573,-0.071
DWSC,E,A,wrap,6.3,6.4,0.02,2.05,1.86,-0.09,0.82,0.71,-0.11
DWSC,E,A,wrap,6.4,6.4,0,1.61,1.37,-0.15,0.614,0.523,-0.091
DWSC,E,A,wrap,6,6.1,0.02,1.25,1.05,-0.16,0.579,0.463,-0.116
DWSC,E,A,wrap,5.8,6,0.03,1.35,1.17,-0.13,0.692,0.542,-0.15
DWSC,E,A,wrap,6.3,6.3,0,1.5,1.28,-0.15,0.6,0.512,-0.088
DWSC,E,A,wrap,6.3,6.2,-0.02,1.76,1.39,-0.21,0.704,0.583,-0.121
DWSC,E,A,wrap,5.3,5.6,0.06,1.1,1.14,0.04,0.739,0.649,-0.09
DWSC,E,A,wrap,5.6,5.5,-0.02,1.11,0.93,-0.16,0.632,0.559,-0.073
DWSC,E,A,wrap,6.5,6.5,0,1.87,1.12,-0.4,0.681,0.408,-0.273
DWSC,E,A,wrap,6.4,6.4,0,1.87,1.53,-0.18,0.713,0.584,-0.129
DWSC,E,A,wrap,NA,6.8,NA,NA,2.16,NA,NA,0.687,NA
DWSC,E,A,wrap,6.1,6.2,0.02,1.64,1.38,-0.16,0.723,0.579,-0.144
DWSC,E,A,wrap,6.5,6.6,0.02,2.11,1.81,-0.14,0.768,0.63,-0.138
DWSC,E,A,wrap,6.3,6.4,0.02,1.73,1.56,-0.1,0.692,0.595,-0.097
DWSC,E,A,wrap,6.4,5.7,-0.11,1.8,0.96,-0.47,0.687,0.518,-0.169
DWSC,E,A,wrap,6.6,5.8,-0.12,1.25,1.11,-0.11,0.435,0.569,0.134
DWSC,E,A,wrap,NA,5.5,NA,NA,1.12,NA,NA,0.673,NA
DWSC,E,A,wrap,6.6,6.5,-0.02,1.7,1.42,-0.16,0.591,0.517,-0.074
DWSC,E,A,wrap,6.7,6.5,-0.03,1.92,1.51,-0.21,0.638,0.55,-0.088
DWSC,E,A,wrap,6.4,6.4,0,1.8,1.55,-0.14,0.687,0.591,-0.096
DWSC,E,A,wrap,6.5,6.6,0.02,2.01,1.81,-0.1,0.732,0.63,-0.102
DWSC,E,A,wrap,5.6,5.8,0.04,1.31,1.23,-0.06,0.746,0.63,-0.116
DWSC,E,A,wrap,6.5,6.5,0,2.11,1.48,-0.3,0.768,0.539,-0.229
DWSC,E,A,wrap,5.7,5.6,-0.02,1.04,0.8,-0.23,0.562,0.456,-0.106
DWSC,E,A,wrap,NA,5.5,NA,NA,1.02,NA,NA,0.613,NA
DWSC,E,A,wrap,6,6,0,1.19,0.89,-0.25,0.551,0.412,-0.139
DWSC,E,A,wrap,6,6.2,0.03,1.26,1.04,-0.17,0.583,0.436,-0.147
DWSC,E,A,wrap,6.4,6.5,0.02,1.91,1.88,-0.02,0.729,0.685,-0.044
DWSC,E,A,wrap,6,6,0,1.31,1.27,-0.03,0.606,0.588,-0.018
DWSC,E,A,wrap,5.6,5.6,0,1.14,0.94,-0.18,0.649,0.535,-0.114
DWSC,E,A,wrap,5.7,5.7,0,1.09,0.83,-0.24,0.589,0.448,-0.141
DWSC,E,A,wrap,6.6,6.5,-0.02,1.76,1.55,-0.12,0.612,0.564,-0.048
DWSC,E,A,wrap,6.5,6.4,-0.02,1.98,1.86,-0.06,0.721,0.71,-0.011
DWSC,E,A,wrap,6.7,6.6,-0.01,1.92,1.56,-0.19,0.638,0.543,-0.095
DWSC,E,A,wrap,5.8,6,0.03,1.49,1.47,-0.01,0.764,0.681,-0.083
DWSC,E,A,wrap,5.9,5.8,-0.02,1.22,1,-0.18,0.594,0.513,-0.081
DWSC,E,A,wrap,5.9,5.7,-0.03,1.36,1.24,-0.09,0.662,0.67,0.008
DWSC,E,A,wrap,5.8,5.9,0.02,1.14,0.91,-0.2,0.584,0.443,-0.141
DWSC,E,A,wrap,6.2,6.1,-0.02,1.47,1.18,-0.2,0.617,0.52,-0.097
DWSC,E,A,wrap,5.4,5.4,0,1.04,0.9,-0.13,0.66,0.572,-0.088
RV,E,A,wrap,4.9,5,0.02,0.9,0.96,0.07,0.765,0.768,0.003
RV,E,A,wrap,5.6,5.7,0.02,1.23,1.33,0.08,0.7,0.718,0.018
RV,E,A,wrap,6.4,6.6,0.03,1.76,1.68,-0.05,0.671,0.584,-0.087
RV,E,A,wrap,6.3,6.2,-0.02,1.66,1.7,0.02,0.664,0.713,0.049
RV,E,A,wrap,5.9,6.1,0.03,1.08,1.25,0.16,0.526,0.551,0.025
RV,E,A,wrap,6.5,6.1,-0.06,2.06,2.08,0.01,0.75,0.916,0.166
RV,E,A,wrap,6.3,6.1,-0.03,1.6,1.64,0.02,0.64,0.723,0.083
RV,E,A,wrap,6.2,5.9,-0.05,1.46,1.49,0.02,0.613,0.725,0.112
RV,E,A,wrap,4.9,5,0.02,0.65,0.87,0.34,0.552,0.696,0.144
RV,E,A,wrap,5.8,6.1,0.05,1.45,1.61,0.11,0.743,0.709,-0.034
RV,E,A,wrap,6.2,6.3,0.02,1.36,1.45,0.07,0.571,0.58,0.009
RV,E,A,wrap,6.3,6.5,0.03,1.76,1.91,0.09,0.704,0.695,-0.009
RV,E,A,wrap,5.6,5.6,0,1.2,1.35,0.13,0.683,0.769,0.086
RV,E,A,wrap,NA,5.5,NA,NA,1,NA,NA,0.601,NA
RV,E,A,wrap,5.4,5.8,0.07,0.9,1.16,0.29,0.572,0.595,0.023
RV,E,A,wrap,5.2,5.3,0.02,0.95,1.02,0.07,0.676,0.685,0.009
RV,E,A,wrap,6.4,6.3,-0.02,1.6,1.91,0.19,0.61,0.764,0.154
RV,E,A,wrap,6.3,6.2,-0.02,1.69,1.76,0.04,0.676,0.738,0.062
RV,E,A,wrap,5.3,5.5,0.04,0.92,1.07,0.16,0.618,0.643,0.025
RV,E,A,wrap,5.6,5.8,0.04,1.12,1.3,0.16,0.638,0.666,0.028
DWSC,E,A,wrap,5.9,5.9,0,1.1,0.85,-0.23,0.536,0.414,-0.122
DWSC,E,A,wrap,6.3,6.3,0,1.37,1.04,-0.24,0.548,0.416,-0.132
DWSC,E,A,wrap,6.5,6.5,0,1.7,1.43,-0.16,0.619,0.521,-0.098
DWSC,E,A,wrap,6.5,6.5,0,1.87,1.67,-0.11,0.681,0.608,-0.073
DWSC,E,A,wrap,6,6,0,1.66,1.49,-0.1,0.769,0.69,-0.079
DWSC,E,A,wrap,6.5,6.6,0.02,2.14,1.94,-0.09,0.779,0.675,-0.104
DWSC,E,A,wrap,5,5.2,0.04,0.91,0.78,-0.14,0.728,0.555,-0.173
DWSC,E,A,wrap,6.3,6.3,0,1.45,1.21,-0.17,0.58,0.484,-0.096
DWSC,E,A,wrap,5.6,5.7,0.02,0.98,0.75,-0.23,0.558,0.405,-0.153
DWSC,E,A,wrap,6.3,6.3,0,1.75,1.54,-0.12,0.7,0.616,-0.084
DWSC,E,A,wrap,NA,6.6,NA,NA,1.65,NA,NA,0.574,NA
DWSC,E,A,wrap,6.5,6.5,0,1.8,1.39,-0.23,0.655,0.506,-0.149
RV,E,A,wrap,6.8,6.9,0.01,2.58,2.66,0.03,0.821,0.81,-0.011
RV,E,A,wrap,4.9,5.5,0.12,0.85,1.07,0.26,0.722,0.643,-0.079
RV,E,A,wrap,6.3,6.5,0.03,1.57,1.7,0.08,0.628,0.619,-0.009
RV,E,A,wrap,5.7,6.2,0.09,1.28,1.52,0.19,0.691,0.638,-0.053
RV,E,A,wrap,6,5.8,-0.03,1.19,1.32,0.11,0.551,0.677,0.126
RV,E,A,wrap,5.5,5.9,0.07,1.06,1.38,0.3,0.637,0.672,0.035
RV,E,A,wrap,5.6,5.8,0.04,1.17,1.37,0.17,0.666,0.702,0.036
RV,E,A,wrap,5.8,5.9,0.02,1.07,1.62,0.51,0.548,0.789,0.241
RV,E,A,wrap,7,7.2,0.03,2.74,2.8,0.02,0.799,0.75,-0.049
RV,E,A,wrap,6.5,6.5,0,2.04,2.26,0.11,0.743,0.823,0.08
RV,E,A,wrap,5.5,5.7,0.04,1.09,1.31,0.2,0.655,0.707,0.052
RV,E,A,wrap,NA,6.2,NA,NA,1.81,NA,NA,0.759,NA
RV,E,A,wrap,6,6.2,0.03,1.8,1.7,-0.06,0.833,0.713,-0.12
RV,E,A,wrap,6.7,6.7,0,2.17,2.29,0.06,0.721,0.761,0.04
RV,E,A,wrap,5,6.1,0.22,0.97,1.58,0.63,0.776,0.696,-0.08
RV,E,A,wrap,5.1,5.5,0.08,0.91,1.15,0.26,0.686,0.691,0.005
RV,E,A,wrap,6.1,6.4,0.05,1.59,1.72,0.08,0.7,0.656,-0.044
RV,E,A,wrap,6.4,6.6,0.03,1.48,1.73,0.17,0.565,0.602,0.037
RV,E,A,wrap,6,6.1,0.02,1.48,1.63,0.1,0.685,0.718,0.033
RV,E,A,wrap,6,5.9,-0.02,1.49,1.7,0.14,0.69,0.828,0.138
RV,E,A,wrap,5.3,5.3,0,0.94,1.1,0.17,0.631,0.739,0.108
RV,E,A,wrap,5.5,5.8,0.05,0.98,1.32,0.35,0.589,0.677,0.088
RV,E,A,wrap,6.1,6.4,0.05,1.63,1.9,0.17,0.718,0.725,0.007
RV,E,A,wrap,6.8,7,0.03,1.92,2.22,0.16,0.611,0.647,0.036
RV,E,A,wrap,5.8,5.8,0,1.21,1.28,0.06,0.62,0.656,0.036
RV,E,A,wrap,5.7,5.6,-0.02,1.24,1.3,0.05,0.67,0.74,0.07
RV,E,A,wrap,5.2,5.5,0.06,0.91,1.1,0.21,0.647,0.661,0.014
RV,E,A,wrap,6,6.8,0.13,1.5,1.42,-0.05,0.694,0.452,-0.242
RV,E,A,wrap,5.3,5.3,0,1.06,1.11,0.05,0.712,0.746,0.034
RV,E,A,wrap,5.7,5.8,0.02,1.44,1.41,-0.02,0.778,0.723,-0.055
RV,E,A,wrap,6.4,6.3,-0.02,2.13,2.22,0.04,0.813,0.888,0.075
RV,E,A,wrap,5.8,5.8,0,1.18,1.28,0.08,0.605,0.656,0.051
RV,E,A,wrap,4.6,4.8,0.04,0.59,0.75,0.27,0.606,0.678,0.072
RV,E,A,wrap,5.4,5.6,0.04,0.91,1.2,0.32,0.578,0.683,0.105
RV,E,A,wrap,5.8,5.7,-0.02,1.32,1.47,0.11,0.677,0.794,0.117
RV,E,A,wrap,5.7,5.7,0,1.1,1.32,0.2,0.594,0.713,0.119
RV,E,A,wrap,5.9,6.2,0.05,1.32,1.68,0.27,0.643,0.705,0.062
RV,E,A,wrap,5.5,5.7,0.04,0.93,1.08,0.16,0.559,0.583,0.024
RV,E,A,wrap,6,6,0,1.15,1.47,0.28,0.532,0.681,0.149
RV,E,A,wrap,5.6,5.9,0.05,1.2,1.42,0.18,0.683,0.691,0.008
RV,E,A,wrap,5,5.4,0.08,0.88,1.05,0.19,0.704,0.667,-0.037
RV,E,A,wrap,5.4,5.4,0,0.88,0.97,0.1,0.559,0.616,0.057
RV,E,A,wrap,5.4,5.6,0.04,1.12,1.23,0.1,0.711,0.7,-0.011
DWSC,F,B,large,6,6,0,1.45,1.22,-0.16,0.671,0.565,-0.106
DWSC,F,B,large,5.5,5.5,0,0.99,0.75,-0.24,0.595,0.451,-0.144
DWSC,F,B,large,6.6,6.5,-0.02,1.91,1.8,-0.06,0.664,0.655,-0.009
DWSC,F,B,large,7.3,7.4,0.01,3.14,2.91,-0.07,0.807,0.718,-0.089
DWSC,F,B,large,6.3,6.2,-0.02,1.48,1.02,-0.31,0.592,0.428,-0.164
DWSC,F,B,large,5.4,5.9,0.09,1.05,0.9,-0.14,0.667,0.438,-0.229
DWSC,F,B,large,4.9,4.7,-0.04,0.49,0.37,-0.24,0.416,0.356,-0.06
DWSC,F,B,large,5.6,5.7,0.02,1.09,0.96,-0.12,0.621,0.518,-0.103
DWSC,F,B,large,6.9,7,0.01,2.51,1.48,-0.41,0.764,0.431,-0.333
DWSC,F,B,large,6.4,6.5,0.02,1.71,1.42,-0.17,0.652,0.517,-0.135
DWSC,F,B,large,5.5,5.5,0,1.19,0.96,-0.19,0.715,0.577,-0.138
DWSC,F,B,large,6.4,6,-0.06,1.66,1.47,-0.11,0.633,0.681,0.048
DWSC,F,B,large,7.1,7,-0.01,2.62,2.12,-0.19,0.732,0.618,-0.114
DWSC,F,B,large,7,7.2,0.03,2.76,1.74,-0.37,0.805,0.466,-0.339
DWSC,F,B,large,6.1,6.2,0.02,1.58,1.44,-0.09,0.696,0.604,-0.092
DWSC,F,B,large,6.5,6.5,0,1.95,1.69,-0.13,0.71,0.615,-0.095
DWSC,F,B,large,NA,6,NA,NA,1.32,NA,NA,0.611,NA
DWSC,F,B,large,6.5,6.5,0,1.53,1.2,-0.22,0.557,0.437,-0.12
DWSC,F,B,large,5.8,6.2,0.07,1.46,1.38,-0.05,0.748,0.579,-0.169
DWSC,F,B,large,7,6.5,-0.07,1.98,1.7,-0.14,0.577,0.619,0.042
DWSC,F,B,large,6,6,0,1.15,1,-0.13,0.532,0.463,-0.069
DWSC,F,B,large,NA,NA,NA,NA,0.59,NA,NA,NA,NA
DWSC,F,B,large,6.5,6.2,-0.05,1.99,1.52,-0.24,0.725,0.638,-0.087
DWSC,F,B,large,6,6,0,1.74,1.67,-0.04,0.806,0.773,-0.033
DWSC,F,B,large,5.9,6,0.02,1.41,1.07,-0.24,0.687,0.495,-0.192
DWSC,F,B,large,6.2,6.3,0.02,1.67,1.42,-0.15,0.701,0.568,-0.133
DWSC,F,B,large,NA,6.3,NA,NA,1.67,NA,NA,0.668,NA
DWSC,F,B,large,NA,6.5,NA,NA,1.52,NA,NA,0.553,NA
DWSC,F,B,large,6,6,0,1.16,0.91,-0.22,0.537,0.421,-0.116
DWSC,F,B,large,7,7,0,2.34,2.15,-0.08,0.682,0.627,-0.055
DWSC,F,B,large,6.3,6.4,0.02,1.4,1.04,-0.26,0.56,0.397,-0.163
DWSC,F,B,large,6.2,6,-0.03,1.54,1.37,-0.11,0.646,0.634,-0.012
DWSC,F,B,large,5.4,4.9,-0.09,1.02,0.84,-0.18,0.648,0.714,0.066
DWSC,F,B,large,6.5,6.5,0,2.01,1.85,-0.08,0.732,0.674,-0.058
DWSC,F,B,large,6,6.2,0.03,1.31,1.05,-0.2,0.606,0.441,-0.165
DWSC,F,B,large,5.8,6,0.03,1.17,0.91,-0.22,0.6,0.421,-0.179
DWSC,F,B,large,5.7,5.8,0.02,1.16,0.83,-0.28,0.626,0.425,-0.201
DWSC,F,B,large,4.8,4.8,0,0.71,0.56,-0.21,0.642,0.506,-0.136
DWSC,F,B,large,6.2,6.1,-0.02,1.62,1.31,-0.19,0.68,0.577,-0.103
DWSC,F,B,large,6.8,7,0.03,2.14,1.91,-0.11,0.681,0.557,-0.124
DWSC,F,B,large,5.8,5.5,-0.05,1.23,1.05,-0.15,0.63,0.631,0.001
DWSC,F,B,large,NA,6,NA,NA,1.33,NA,NA,0.616,NA
DWSC,F,B,large,6,6.2,0.03,1.71,1.51,-0.12,0.792,0.634,-0.158
DWSC,F,B,large,6.5,6.6,0.02,1.77,1.49,-0.16,0.645,0.518,-0.127
DWSC,F,B,large,5.6,5.8,0.04,1.28,1.19,-0.07,0.729,0.61,-0.119
DWSC,F,B,large,6.5,6.9,0.06,1.99,1.74,-0.13,0.725,0.53,-0.195
DWSC,F,B,large,6.5,6,-0.08,1.77,1.39,-0.21,0.645,0.644,-0.001
DWSC,F,B,large,7.3,7.5,0.03,3.31,3.3,-0,0.851,0.782,-0.069
DWSC,F,B,large,6,6,0,1.38,1.36,-0.01,0.639,0.63,-0.009
DWSC,F,B,large,NA,6.5,NA,NA,1.46,NA,NA,0.532,NA
DWSC,F,B,large,5.9,5.8,-0.02,1.44,1.21,-0.16,0.701,0.62,-0.081
DWSC,F,B,large,5.7,5.8,0.02,1.11,0.98,-0.12,0.599,0.502,-0.097
DWSC,F,B,large,6.6,6.7,0.02,1.94,1.46,-0.25,0.675,0.485,-0.19
DWSC,F,B,large,5.6,5.7,0.02,1.05,0.78,-0.26,0.598,0.421,-0.177
DWSC,F,B,large,7,7,0,2.16,1.82,-0.16,0.63,0.531,-0.099
DWSC,F,B,large,6.3,6.7,0.06,1.97,1.85,-0.06,0.788,0.615,-0.173
DWSC,F,B,large,5.3,5.4,0.02,1.05,0.95,-0.1,0.705,0.603,-0.102
DWSC,F,B,large,6.5,6.3,-0.03,1.48,1.19,-0.2,0.539,0.476,-0.063
DWSC,F,B,large,5.9,5.6,-0.05,1.12,0.84,-0.25,0.545,0.478,-0.067
DWSC,F,B,large,NA,6,NA,NA,1.09,NA,NA,0.505,NA
RV,F,B,large,6,6.4,0.07,1.69,1.8,0.07,0.782,0.687,-0.095
RV,F,B,large,6.3,6.5,0.03,1.52,1.76,0.16,0.608,0.641,0.033
RV,F,B,large,6.5,6.5,0,1.92,2.06,0.07,0.699,0.75,0.051
RV,F,B,large,6.4,6.3,-0.02,1.68,2.07,0.23,0.641,0.828,0.187
RV,F,B,large,6.9,7,0.01,2.18,2.27,0.04,0.664,0.662,-0.002
RV,F,B,large,6.8,6.8,0,2.13,2.23,0.05,0.677,0.709,0.032
RV,F,B,large,7.2,7.2,0,2.71,2.79,0.03,0.726,0.747,0.021
RV,F,B,large,6.4,6.8,0.06,2.06,2.25,0.09,0.786,0.716,-0.07
RV,F,B,large,5.9,6,0.02,1.18,1.33,0.13,0.575,0.616,0.041
RV,F,B,large,6.3,6.4,0.02,1.62,1.74,0.07,0.648,0.664,0.016
RV,F,B,large,5.8,5.9,0.02,1.04,1.19,0.14,0.533,0.579,0.046
RV,F,B,large,6.3,6.4,0.02,1.58,1.74,0.1,0.632,0.664,0.032
RV,F,B,large,5.5,5.8,0.05,0.99,1.22,0.23,0.595,0.625,0.03
RV,F,B,large,6.2,6.6,0.06,1.62,1.83,0.13,0.68,0.637,-0.043
RV,F,B,large,6,6.2,0.03,1.29,1.35,0.05,0.597,0.566,-0.031
RV,F,B,large,5.4,5.8,0.07,0.88,1.08,0.23,0.559,0.554,-0.005
RV,F,B,large,6.4,6.4,0,1.77,1.84,0.04,0.675,0.702,0.027
RV,F,B,large,5.6,6,0.07,1.27,1.5,0.18,0.723,0.694,-0.029
RV,F,B,large,5.7,5.9,0.04,1.09,1.14,0.05,0.589,0.555,-0.034
RV,F,B,large,6.2,6.3,0.02,1.36,1.63,0.2,0.571,0.652,0.081
RV,F,B,large,6.1,6.2,0.02,1.34,1.49,0.11,0.59,0.625,0.035
RV,F,B,large,6.5,6.7,0.03,1.85,1.92,0.04,0.674,0.638,-0.036
RV,F,B,large,5.9,6.2,0.05,1.48,1.59,0.07,0.721,0.667,-0.054
RV,F,B,large,5.6,5.8,0.04,1.12,1.27,0.13,0.638,0.651,0.013
RV,F,B,large,6,6.2,0.03,1.45,1.75,0.21,0.671,0.734,0.063
RV,F,B,large,6,6.3,0.05,1.24,1.52,0.23,0.574,0.608,0.034
RV,F,B,large,6.7,7,0.04,2.25,2.59,0.15,0.748,0.755,0.007
RV,F,B,large,5.2,5.7,0.1,0.92,1.11,0.21,0.654,0.599,-0.055
RV,F,B,large,6,6.2,0.03,1.45,1.58,0.09,0.671,0.663,-0.008
RV,F,B,large,6.3,6.3,0,1.66,1.92,0.16,0.664,0.768,0.104
RV,F,B,large,5.4,5.7,0.06,1.02,1.15,0.13,0.648,0.621,-0.027
RV,F,B,large,6.5,6.6,0.02,1.94,2.09,0.08,0.706,0.727,0.021
RV,F,B,large,7,7.1,0.01,2.26,2.61,0.15,0.659,0.729,0.07
RV,F,B,large,5.5,5.8,0.05,1.14,1.21,0.06,0.685,0.62,-0.065
RV,F,B,large,6.7,6.7,0,2.02,2.32,0.15,0.672,0.771,0.099
RV,F,B,large,6.2,6.3,0.02,1.45,1.55,0.07,0.608,0.62,0.012
RV,F,B,large,5.5,5.7,0.04,0.84,1.15,0.37,0.505,0.621,0.116
RV,F,B,large,6.3,6.1,-0.03,1.6,1.71,0.07,0.64,0.753,0.113
RV,F,B,large,5.8,6,0.03,1.4,1.37,-0.02,0.718,0.634,-0.084
RV,F,B,large,5.3,5.5,0.04,0.91,1.05,0.15,0.611,0.631,0.02
RV,F,B,large,6.2,6.4,0.03,1.97,1.99,0.01,0.827,0.759,-0.068
RV,F,B,large,6,6.3,0.05,1.58,1.66,0.05,0.731,0.664,-0.067
RV,F,B,large,6.4,6.8,0.06,1.88,2.02,0.07,0.717,0.642,-0.075
RV,F,B,large,5.9,6.2,0.05,1.52,1.73,0.14,0.74,0.726,-0.014
RV,F,B,large,5.8,5.9,0.02,1.13,1.18,0.04,0.579,0.575,-0.004
RV,F,B,large,5.4,5.8,0.07,0.92,1.23,0.34,0.584,0.63,0.046
RV,F,B,large,NA,6.3,NA,NA,1.6,NA,NA,0.64,NA
RV,F,B,large,6.1,6.3,0.03,1.53,1.69,0.1,0.674,0.676,0.002
RV,F,B,large,6.4,6.4,0,1.73,2.06,0.19,0.66,0.786,0.126
RV,F,B,large,5.7,6,0.05,1.33,1.55,0.17,0.718,0.718,0
RV,F,B,large,6.3,6.4,0.02,1.73,1.83,0.06,0.692,0.698,0.006
RV,F,B,large,5.7,6.1,0.07,1.17,1.43,0.22,0.632,0.63,-0.002
RV,F,B,large,6.5,6.5,0,2,2.18,0.09,0.728,0.794,0.066
RV,F,B,large,NA,5.7,NA,NA,1.27,NA,NA,0.686,NA
RV,F,B,large,NA,6.1,NA,NA,1.53,NA,NA,0.674,NA
RV,F,B,large,NA,6.4,NA,NA,1.23,NA,NA,0.469,NA
