Location,Date,Method,TowDistance,SetTime,FlowMeterStart,FlowMeterEnd,Rotations,MeshSize,RingSize,TotalVolume,SubsampledVolume,Taxon,Count,nSubsamples,TaxonomicGrouping,BiomassIndex,TotalBiomass,RingSize_m
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Rotifers,132,1,Microzoo,0.12,15.84,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Barnacles,0,NA,Microzoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Copepod nauplii,174,1,Microzoo,0.1,17.4,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Ostracods,1,1,Microzoo,0.6,0.6,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acanthocyclops vernalis adult,4,1,Cyclopoid,3.36,13.44,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acanthocyclops sp.,0,NA,Cyclopoid,0,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Cyclopoid adult,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Cyclopoid copepodid,60,1,Cyclopoid,1.68,100.8,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Diacyclops thomasi,2,1,Cyclopoid,3.36,6.72,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Ectocyclops phaleratus,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Eucyclops,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona copepodid,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona sinensis,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona spp.,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona tetraspina,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Macrocyclops albidus,1,1,Cyclopoid,3.36,3.36,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Mesocyclops edax,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Microcyclops rubellus,1,1,Cyclopoid,3.36,3.36,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Monospilus,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona copepodid,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona davisae,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona similis,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona spp.,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Paracyclops spp.,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartia copepodid,0,NA,Calanoid,1.301,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartia spp.,0,NA,Calanoid,0,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartiella copepodid,0,NA,Calanoid,1.162,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartiella sinensis,0,NA,Calanoid,2.666,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Calanoid copepodid,8,1,Calanoid,1.5,12,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Diaptomus copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Diaptomus spp.,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Eurytemora affinis adult,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Eurytemora affinis copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Osphranticum copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Osphranticum labronectum,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Pseudodiaptomus forbesi adult,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Pseudodiaptomus forbesi copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Sinocalanus doerrii adult,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Sinocalanus doerrii copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Skistodiaptomus pallidus,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Tortanus copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Tortanus spp.,0,NA,Calanoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Alona,2,1,Cladocera,0.6,1.2,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Alonella,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Bosmina,23,1,Cladocera,0.6,13.8,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Camptocercus,4,1,Cladocera,0.6,2.4,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Ceriodaphnia,25,1,Cladocera,1.4,35,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Chydorus,22,1,Cladocera,0.6,13.2,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Daphnia,13,1,Cladocera,4,52,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Diaphanosoma,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Disparalona,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Eurycercus,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Graptoleberis,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Ilyocryptus,1,1,Cladocera,0.6,0.6,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Kurzia,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Macrothrix,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Moina,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Monospilus,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Picripleuroxus,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Pleuroxus,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Scaphloberis,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Sida,0,NA,Cladocera,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Simocephalus,1,1,Cladocera,1,1,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Harpacticoids,2,1,Harpacticoid,1,2,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Americorophium,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Annelid,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Baby Clam,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Baby snail,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Clam,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Corophium spp.,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Cumacean,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Fish,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Fish eggs,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Gammarus spp.,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Insect larvae,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Isopod,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Larval Fish,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Mysids,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Shrimp,0,NA,Macrozoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Snail,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,1,Rotifers,257,1,Microzoo,0.12,30.84,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,1,Barnacles,0,NA,Microzoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,1,Copepod nauplii,45,1,Microzoo,0.1,4.5,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,1,Ostracods,0,NA,Microzoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Acanthocyclops vernalis adult,2,1,Cyclopoid,3.36,6.72,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Acanthocyclops vernalis copepodid,0,NA,Cyclopoid,1.68,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Cyclopoid adult,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Cyclopoid copepodid,17,1,Cyclopoid,1.68,28.56,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Diacyclops thomasi,2,1,Cyclopoid,3.36,6.72,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Ectocyclops phaleratus,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Eucyclops elegans,1,1,Cyclopoid,3.36,3.36,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Limnoithona copepodid,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Limnoithona sinensis,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Limnoithona spp.,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Limnoithona tetraspina,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Macrocyclops albidus,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Mesocyclops edax,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Microcyclops rubellus,1,1,Cyclopoid,3.36,3.36,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Monospilus,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Oithona copepodid,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Oithona davisae,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Oithona similis,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Oithona spp.,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Paracyclops fimbriatus,0,NA,Cyclopoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Acartia copepodid,0,NA,Calanoid,1.301,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Acartia spp.,0,NA,Calanoid,0,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Acartiella copepodid,0,NA,Calanoid,1.162,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Acartiella sinensis,0,NA,Calanoid,2.666,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Calanoid copepodid,2,1,Calanoid,1.5,3,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Diaptomus copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Diaptomus spp.,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Eurytemora affinis adult,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Eurytemora affinis copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Osphranticum copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Osphranticum labronectum,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Pseudodiaptomus forbesi adult,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Pseudodiaptomus forbesi copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Sinocalanus doerrii adult,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Sinocalanus doerrii copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Skistodiaptomus pallidus,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Tortanus copepodid,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Tortanus spp.,0,NA,Calanoid,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Alona,7,1,Cladocera,0.6,4.2,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Alonella,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Bosmina,47,1,Cladocera,0.6,28.2,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Camptocercus,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Ceriodaphnia,32,1,Cladocera,1.4,44.8,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Chydorus,37,1,Cladocera,0.6,22.2,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Daphnia,32,1,Cladocera,4,128,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Diaphanosoma,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Disparalona,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Eurycercus,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Graptoleberis,1,1,Cladocera,0.6,0.6,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Ilyocryptus,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Kurzia,5,1,Cladocera,0.6,3,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Leydigia,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Macrothrix,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Moina,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Monospilus,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Picripleuroxus,1,1,Cladocera,0.6,0.6,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Pleuroxus,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Pseudochydorus,1,1,Cladocera,0.6,0.6,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Scaphloberis,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Sida,0,NA,Cladocera,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Simocephalus,18,1,Cladocera,1,18,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Harpacticoids,2,1,Harpacticoid,1,2,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Americorophium,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Annelid,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Baby Clam,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Baby snail,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Clam,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Corophium spp.,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Cumacean,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Fish,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Fish eggs,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Gammarus spp.,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Insect larvae,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Isopod,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Larval Fish,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Mysids,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Shrimp,0,NA,Macrozoo,NA,0,0.15
RV,2019-02-19,Throw,6.5,NA,NA,NA,NA,50,15,75,15,Snail,0,NA,Macrozoo,NA,0,0.15
DWSC,2019-03-12,Throw,6.5,NA,NA,NA,NA,50,15,82,10,Rotifers,21,1,Microzoo,0.12,2.52,0.15
